Title,Description,Type
How to Manage Difficult Conversations (W009),"For managers, approaching a difficult conversation�whether it's with a direct report, colleague or manager�can be immensely stressful. Handled the wrong way, this kind of conversation can also damage your work relationships and leave you feeling unsure of your abilities. With the right preparation and mindset, you can ensure that this doesn't happen. 
This course provides basic guidelines on when and where to initiate a difficult conversation and ways to manage the associated stress. You'll learn how to prepare for a difficult conversation using a four-step process so that you're confident and able to manage the conversation constructively. Finally, you'll learn how to demonstrate the right mindset during the conversation so that it has the best possible outcome.
",Online
Identifying Risks in Your Organization (G017),"As a manager, it's important that you understand and prepare for risk. This course focuses on identifying risk factors, which is the first stage of risk management. It outlines key techniques you can use to identify risk, including how to use root cause identification, the Delphi technique, and brainstorming sessions.",Online
Influence Others with Political Savvy (G018),"When dealing with power and influence you will inevitably have to navigate political waters. Most everyone knows that �politics� are a reality of organizations and even if you dislike them, you cannot eliminate them. Just think of those who have power�chances are they got there not just through their individual know-how, but because they know who's who, how to appeal to them, and how to build coalitions of power and influence. This course addresses what it takes to use political savvy as an aid to influencing without direct authority.",Online
Interacting with Customers (R007),"Interacting with Customers (R007)
Failing to realize the importance of customer service and effective communication can lead to increasingly dissatisfied customers. This course provides valuable advice on how to improve your interactions with customers, including how to overcome barriers to communication as well as how to speak effectively, use vocal cues, and listen actively to paraphrase your understanding of customer needs.",Online
Introduction to Six Sigma (X010),"There has been an increased interest in Six Sigma in recent years. But what exactly is Six Sigma? This course will introduce you to the foundational concepts of the Six Sigma philosophy and process. You will explore what Six Sigma means and the critical elements of the approach. You will gain an understanding of the new roles that some employees will fill. This course will introduce you to a straightforward framework for satisfying your customers, reducing waste, and increasing efficiency and quality in your organization.",Online
Investigating Arguments (C054),"In critical thinking, an argument is part of reaching a logical conclusion. In this course, you'll learn to identify and judge arguments, recognize logical fallacies and persuasion techniques, and make effective arguments of your own.",Online
Keeping Business Calls Professional (C056),"In business, one of the oldest communication tools is still one of the most important�the telephone. Even when using the phone, it's crucial to create a positive impression. 
This course covers the rules of etiquette for professional business calls and explores how to make and receive calls effectively. You'll also learn best practices for using a cell phone, including how to record and leave voicemail messages.
",Online
Leadership Advantage: Developing a Business Execution Culture 3.0 (X015),"Developing a business execution culture challenges leaders to attend to three equally important areas: developing a sound strategy for moving into the future, making sure the team around them is equipped to execute the strategy, and creating an operating plan for people to follow.

This course is designed to help you recognize the leader's role in creating a business execution culture, determine effective business execution characteristics in business situations, recognize effective and ineffective approaches to creating a business execution culture, and choose solutions to execution challenges in business scenarios.

",Online
Leadership Essentials: Building Your Influence as a Leader (X022),"Why is it so hard to get people to agree to a good idea? Why are some leaders constantly faced with challenges and objections? Reaching agreement as a leader does not mean you should manipulate or force people to accept your ideas and accomplish your objectives; there are ethical ways for leaders to successfully build influence. Leaders attempting to influence and persuade others are faced with the challenges of navigating through organizational politics. An effective leader recognizes that organizational politics can provide positive ways to influence others in order to accomplish goals.

In this course, you will be guided through numerous methods and strategies for effectively influencing a team to accept your ideas. You'll be introduced to the importance of political awareness and the essential skills involved in using positive politics and avoiding negative politics when persuading others. You'll also have an opportunity to practise methods for influencing effectively and ethically.

Topics include
recognizing and classifing examples of techniques for influencing people
recognizing actions that use politics to influence others in a positive way
using influence techniques to persuade others while avoiding the negative use of politics, in a given scenario",Online
Leadership Advantage: Building and Leading Teams 3.0 (X011),"Leading teams requires skills that go beyond those of group, project, or people management. As a team leader, you help build a foundation for team performance that is based on shared purpose, trust, and practical guidelines for accomplishing work as a team. You must keep performance on track while dealing with the realities of team dynamics, accountability challenges, and inevitable conflicts. Team leaders build cultures where results are accomplished through trust, commitment and communication. Many leaders say that building and leading teams is their most challenging�and most rewarding�accomplishment. 

This course is designed to help you appreciate the benefits, qualities, and challenges of teams; build teams with shared objectives, goals, and practices; create a trusting environment that facilitates teamwork and team performance; and provide leadership to obtain dedicated participation, healthy communication, and strong performance from your team.
",Online
Leadership Advantage: Coaching 3.0 (X012),"Coaching helps people use their talents most effectively to perform the requirements of their job, develop their personal potential, grow in their careers, and deal with the inevitability of change. Effective coaches follow a logical process and develop specific skills to forge a dynamic and purposeful relationship with their coaches. As a leader you may not play the role of coach all the time, but you must continually build a culture conducive to coaching and be capable of stepping into the role at any time. 

This course is designed to help you recognize the benefits of coaching to your company and your employees; build a foundation for coaching success through purpose, assessment, and rapport; facilitate coaching activities using delegation, feedback, and motivation; and face coaching challenges with confidence and resources.
",Online
Leadership Advantage: Leading Change 3.0 (X019),"The change process isn't simply about introducing new systems or introducing new job roles�it's about people and their transition from an old way of working to a new one. Change is a process, a problem, and a professional practice. Managers, consultants, psychologists, and analysts attempt to differentiate ""making"" change from ""coping with"" change. They stress the steps of change, the cycle of change, and the emergence of change.

This course focuses on the business leaders or managers who must lead change efforts that involve changing from one situation to another�from the way things are now, to the way they need to be. To do this, you'll need to have a process to follow and to know how to engage people in making change happen. This course is designed to help you set the stage for change in your organization, follow steps to make change happen in your organization, and lead people in the change process.",Online
Leadership Advantage: Managing Diversity 2.0 (X120),"Many companies have legal guidelines and statutes for equal opportunity and affirmative action pertaining to diversity�but that is not the focus of this program. This program approaches the topic of diversity from a broader perspective�one that is inclusive of everyone, reflects our similarities as well as our differences, and welcomes the fact that we are already a diverse group of people working together. It is how we manage, focus on, integrate, and leverage our similarities and differences that matters�to our business, to the development of talent, and to the degree of respect and dignity we share. Diversity, however, can be accompanied by tensions and complexities that require your leadership direction and management skills.",Online
Leadership Essentials: Creating Your Own Leadership Development Plan (X023),"Creating your own leadership development plan is a significant part of any successful and valuable leadership-development strategy. Leadership development plans help to ensure that you remain focused on what is required to continually grow and develop as a leader. This includes assessing your own style, values, and requirements, as well as identifying development goals, objectives, and actions.

This course explores ways to assess yourself as a leader, establish a vision for the future, and identify obstacles to that vision. It also teaches practical approaches for setting development goals, objectives, and actions designed to move you toward your vision. Lastly, it provides useful criteria for evaluating a personal leadership development plan.

Topics include
identifying the key results of a leader's self-assessment process
recognizing strategies for formulating your leadership vision and approaching potential obstacles to that vision
choosing appropriate objectives and actions for a leadership development plan, in a given scenario
recognizing strategies designed to help sustain leadership development
determining whether a leadership development plan exhibits key characteristics",Online
Leadership Essentials: Leading Change (X024),"Change is not an event�it is a process. Change can happen quickly and, in some situations, can be urgent! However, it can take time for individuals to make the transition from one way of working to another. The change process isn't simply about introducing new systems�it's about leading people from an old way of working to a new way of working, and it's vital that you lead the change through to completion! It's important to recognize that your role is to support individuals through the transition and remove obstacles that can hinder a smooth transition from one process to another. 

This course will provide you with strategies for leading change within an organization, including effective approaches to introducing and communicating change. It also provides practical strategies for dealing with sources of employee resistance to change and for removing organizational obstacles to ensure the transition is followed through.

Topics covered:
� recognizing various types of change obstacles in an organization 
� matching roots of inertia with actions to combat and replace them with imperatives 
� recognizing appropriate ways to communicate change 
� using appropriate techniques as a leader to introduce and follow through with change in a given situation  
",Online
Leadership Essentials: Leading Innovation (X025),"Creativity and innovation are critical components of just about every organization. But innovation doesn't pertain only to new inventions, products, or reworked designs. It also involves incremental improvements to the way things are done. Knowing how to build and support an innovative culture is an important skill for any leader to master. The impetus for innovation can come from the top of the organization, and it can come from the people engaged in day-to-day production. Building an innovative culture is a responsibility for leaders and employees across organizational hierarchies. 

This course provides you with an understanding of an innovative culture and what qualities a leader needs to best foster innovation. It also provides you with practical techniques for cultivating and leading innovation.

Topics covered:
� classifying examples of questions to assess characteristics of a business innovation culture
� associating the characteristics of an innovation leader with the actions that reflect them
� assessing an organization's innovation culture and planning leadership actions to strengthen it in a given situation
� recognizing actions that are likely to attract and nurture innovators
",Online
Leading a Cross-functional Team (G019),"Many organizations have discovered the advantages of using cross-functional teams to accomplish their goals. While the diversity inherent to these teams can present certain challenges, successfully managing cross-functional teams is the reward. In this course, you'll learn about the benefits of cross-functional teams. You'll also learn about the various development stages of cross-functional teams and the risks at each stage. Finally, you'll learn about the key abilities a cross-functional leader should have and best practices for cross-functional team success.",Online
Leading Change (X026),"Although often a force of progress, change can be disruptive to employees. This challenge focuses on methods for successfully managing change.",Online
Leading Teams: Managing Virtual Teams (X027),"Virtual teams are emerging as the basic unit for conducting business of all types. Studies show that over 80% of workers today are involved in some way with team members who are not physically located in the same office. Virtual communication networks have made virtual teams possible, while globalization has made them a necessity. Leading virtual teams presents new challenges to leaders and managers. Virtual team leaders must find ways to successfully manage people who are separated by distance, time zones, and cultural differences. 

This course offers leaders a framework for successfully leading virtual teams. It outlines the key competencies that members of virtual teams should possess and offers guidelines for specific virtual team activities, such as teleconferencing and decision making. It also highlights a variety of tools and technologies that are commonly used for collaboration on virtual teams and presents guidelines for choosing the right technologies for specific situations.

Topics covered:
� recognizing the competencies that members of virtual teams should possess or develop 
� choosing the best combination of virtual communication tools to use in a virtual team situation 
� classifying examples of virtual team technologies for communication, conferencing or information transfer and storage 
� identifying key areas for consideration when setting guidelines for virtual teams 
",Online
Leading through Positive Influence (G020),"An effective leader recognizes that organizational politics can provide positive ways to influence others to accomplish goals. In this course, you will be guided through numerous methods and strategies for effectively influencing a team to accept your ideas. You'll be introduced to the importance of political awareness and the essential skills involved in using positive politics and avoiding negative politics when persuading others. You'll also have an opportunity to practise methods for influencing effectively and ethically.",Online
Leading Your Team through Change (G021),"As a customer service representative (CSR), creating a support culture that focuses on your customers' needs is key. In this course, you'll learn how to project an excellent service attitude that will enhance your interaction with your customers. You'll explore how to establish effective customer relationships and involve customers in problem solving. In addition, you'll discover methods to communicate effectively in a cross-cultural customer support centre or help desk environment.",Online
Leveraging Emotional Intelligence (W010),"Leaders with a strong mixture of emotional awareness, self-management, and social skills navigate relationships more effectively and are more likely to be successful in their personal and professional lives. This course provides you with an understanding of why emotional intelligence abilities are important to you as a leader. It also provides you with practical, positive techniques for promoting and improving emotional intelligence as a leader within your business environment.",Online
Make the Time You Need: Get Organized (D003),"You don't have to manage your time, but the potential for mistakes and stress grows when you don't. To manage time effectively, you need to be organized. 
In this course, you'll learn strategies for improving your productivity depending on the type of time-management personality you have. You'll also learn how to deal with time stealers, create manageable to-do lists and maintain an organized time-management approach.
",Online
Making an Impact with Non-verbal Communication (C057),"For our earliest ancestors, non-verbal communication was communication! The primitive parts of our brains are still wired to respond automatically when we're afraid, threatened, disgusted, surprised, or happy. But we've come a long way in our development and understanding of our brain's ability to respond and communicate in valuable nonverbal ways. In this course, you will find out how our attitude, posture, gestures, facial expressions, and tone have a great impact on our communication.",Online
Management Essentials: Confronting Difficult Employee Behaviour (X028),"As a manager, you will inevitably encounter direct reports who exhibit difficult behaviour that can disrupt entire teams and departments. It's your job to confront difficult behaviour as early as possible to minimize the disruption. Whether they are blatant or less obvious, behavioural problems need to be addressed before they affect morale and productivity. If you ignore them, they will eventually affect your team, your company, and possibly even your career. Confronting behavioural problems as they arise can quickly get things back on track and lead to a more positive work environment for all. This course introduces best practices for confronting your direct reports about their difficult behaviour.

Topics covered:
� identifying examples of the effects of not dealing with employee behaviour problems in a firm and timely manner
� recognizing how to confront difficult behaviour
� confronting an employee about their behaviour in a given situation

",Online
Management Essentials: Developing Your Direct Reports (X029),"A main goal of managing is developing your direct reports. This involves not only coordinating their work in a way to meet your organization's business objectives, but also empowering and providing them with opportunities to meet their own professional development objectives.

This course provides an overview of the importance and benefits to you as a manager of developing your direct reports and tactical strategies for doing so. Specifically, this involves an examination of the steps required to assess the development needs of your employees by differentiating individual requirements. Also covered is the importance of and methods for creating a development plan with your employees based on their individual requirements, and ways to support the development plan by creating opportunities for practice and growth in skills and abilities. Finally, this course introduces ways to continue supporting employees through follow up and monitoring, and timely ongoing feedback.

Topics include
using a method to differentiate among your direct reports in terms of potential and performance and choosing an appropriate development strategy for each person
recognizing how to conduct an effective development meeting with your direct reports
recognizing the characteristics of an effective development plan
identifying actions you can take to provide ongoing support to developing your direct reports
",Online
Management Essentials: Directing Others (X030),"As a manager, your role is not only to supervise, but also to lead, develop and direct your employees, both individually and collectively, to accomplish organizational goals. Understanding the essential responsibilities you have when directing others, and the practices you should employ in order to meet those responsibilities, will lead to your fulfilling your duties and realizing the potential of your entire team. 

This course provides information on the key proficiencies you require to effectively direct others. Specifically, it explores the steps for setting direction and establishing clear objectives and goals with your direct reports. The importance of organizing, including organizing resources, is discussed. Finally, communicating for clarity and direction, including listening skills, barriers to effective communication, and tips for overcoming communication barriers are covered. 

Topics covered:
� recognizing the process of setting direction and pace as a manager
� recognizing examples of actions that are typical of the organizing function of management
� recognizing examples of using strategies to communicate for clarity and direction
� communicating for clarity and direction as a manager in a given situation
",Online
Management Essentials: Managing a Diverse Team (X140),"The population as a whole is becoming ever more diverse. Naturally, these societal changes are mirrored in the workplace. The most forward-looking organizations recognize the importance of managing a diverse workforce effectively. In turn, those managers who have the skills to lead a diverse team successfully are highly valued.
 This course describes what diversity is, including its benefits. It also covers how to prepare to manage a diverse team by understanding key diversity issues and setting ground rules. Finally, it delineates techniques for managing a diverse team.
Topics covered:
� identifying the benefits of being able to manage a diverse team effectively
� recognizing strategies for preparing to manage a diverse team
� identifying techniques for managing a diverse team

",Online
Managing a Project to Minimize Risk and Maximize Quality (T042),"When starting a project, there are many things to consider. One key area is risk. You need to prepare ahead of time for all the things that could go wrong�as well as all the things that could go right! Another key area is quality. How are you going to ensure that your product or service meets stakeholder expectations? Then there's figuring out whether to do all the work in house or outsource it to a third party. And how do you choose the best partner to minimize risk and maximize quality? This course will help you sort out all these considerations by explaining common methods and best practices related to managing risk, quality, and procurement.",Online
Managing Change: Building Positive Support for Change (X031),"It's often said that people don't like change. Employees cannot support change and recognize its benefits without first understanding its impact on them. This course teaches the importance of building a motivating atmosphere that supports organizational change, looking at techniques for encouraging open communication from employees. It also covers coaching and the need for flexibility.",Online
Managing Change: Dealing with Resistance to Change (X032),"Organizational change can cause anxiety and upheaval, which is manifested in different and often unproductive ways by different individuals. Managers have to understand the mix of emotions and conflicting thoughts that come with change, then identify and address the underlying causes of employee resistance. 

This course surveys the active and passive symptoms of change resistance and explores its roots, providing strategies for dealing directly with employees.
",Online
Managing Change: Sustaining Organizational Change (X033),"Organizational transformation is vital to improving service, streamlining operations, and boosting the bottom line. This course covers methods for building and cultivating a culture that sustains organizational change. It introduces techniques for creating a collaborative team environment and managing and sustaining performance, including rewarding ongoing learning and improvement and providing feedback.",Online
Managing Change: Understanding Change (X034),"�To exist is to change, to change is to mature, to mature is to go on creating oneself endlessly"" (Henri Bergson, 19th c. French philosopher). The pace of change has only increased since then, and adapting to it is a necessity today. Leaders and managers must understand the importance of change to propel their organizations forward. 

This course outlines the importance and benefits of organizational change, detailing the three types of change: strategic adjustment, strategic reorientation, and transformational change. This course covers practical approaches for managing organizational change in terms of time, degree, and potential resistance.
",Online
Managing Project Work (PMBOK� Guide Sixth Edition) (T920),"This course covers the Direct and Manage Project Work, Manage Project Knowledge, and Monitor and Control Project Work processes. It assist learners in preparing for the PMI� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Managing Workforce Generations: Working with a Multigenerational Team (X144),"Managing a multigenerational team requires a clear understanding of the differences among employees and strategies to make the most of this diversity. This course reviews the potential sources of conflict within a generationally diverse team, including different approaches to work and communication. It covers management strategies for fostering inclusion, respect, and support. This course also describes how to implement a mentoring program to take advantage of the experiences and perspectives of multiple generations.",Online
Managing Your Company's Talent (G031),"Managing Your Company's Talent (G031)
Talent management focuses on recruiting, hiring, developing, and retaining the right talent to drive an organization's performance. This course covers the importance of effective talent management and how to plan for it. In addition, this course identifies the key activities associated with talent management and describes the roles played by managers in implementing a talent management strategy.",Online
Managing Your E-mail (X035),"E-mail has had many positive effects on our lives, but it has also increased dramatically the amount of information that the average office worker needs to process every day. To stay on top of things, you must sort, file, respond to, or delete every e-mail that comes to you in the run of a business day. But how do you balance this time-consuming task with the rest of your responsibilities so that it doesn't overwhelm you? 

This course introduces techniques for managing e-mail effectively. Tips for using folders and filters to organize e-mails for increased efficiency are addressed as are guidelines on what e-mails can be deleted immediately. The course also provides direction on how to recover important information.

Topics covered:
� recognizing best practices for managing your time through effective e-mail management
� identifying examples of e-mail you should delete from your inbox
� using folders and filters to organize your e-mail
� finding lost e-mail information in a given scenario
",Online
Mastering the Details of a Project's Schedule and Budget (T043),"Once a project�s scope has been clearly defined with all the necessary tasks identified, it's time to get into more detailed estimating and planning. Drawing on all the information gleaned from the initiation phase, you must now define how much time and money will be required to meet objectives and complete the project. In this course, you will learn how to develop the schedule and cost baselines and use them to monitor and measure performance throughout the project.",Online
Monitor Project Communications (PMBOK� Guide Sixth Edition) (T931),"This course covers the Monitor Communications project management process. It assists learners in preparing for the PMI� PMP� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Motivating Your Employees (G022),"Motivation is what drives people to accomplish things. Without motivation, things simply would not get done. As a leader, your capacity for motivating is a key element in the success of your organization. This course provides you with an understanding of why motivating strategies are important to you as a leader. It also provides you with practical techniques for boosting motivation among employees in your organization.",Online
Navigating Challenging Situations with Diplomacy and Tact (C058),"You'll likely face unpleasant situations or tasks at some point in your career. In this course, you'll learn to navigate difficult work relationships, write diplomatic and tactful e-mails, and handle angry and manipulative coworkers.",Online
Navigating through Changes and Conflicts in Projects (T044),"Of all the different types of skills and competencies a project manager uses, soft skills are the most important. The ability to communicate effectively with team members and negotiate between conflicting demands so stakeholders remain positive can mean the difference between success and failure. In this course, you'll learn how to handle it when someone requests a change to the project, how to create a plan for communicating with stakeholders, and approaches for dealing with conflicts that arise.",Online
Negotiation Essentials: Communicating (X036),"To achieve a successful outcome in any negotiation, you need to communicate well. This means not only being clear in how you deliver your message but also ensuring the other party feels understood. You need to actively and skillfully create a connection with the other party, otherwise, you won't ever reach an agreement. 

This course describes ways you can communicate effectively in a negotiation. It discusses how to set the tone for a negotiation, make an effective and clear proposal, and respond positively to the other party in the negotiation.
",Online
Negotiation Essentials: Planning for Negotiation (X037),"Negotiating can sometimes seem like a daunting task. But if you're properly prepared, you'll likely reach an outcome that benefits both you and the other party without too much stress. If you've ever gone into a negotiation without preparing, it's likely that you were reactive and unfocused, and you may have ended up with a less than desirable outcome. Proper planning would have given you the direction needed to do effective problem-solving at the negotiating table. Thinking carefully about what you want to achieve, as well as what the other party wants, will pave the way for a smooth and successful negotiation. 

This course describes key considerations when preparing for a negotiation. It also covers how to prepare for likely compromises you'll need to make and how having alternatives to a negotiated agreement and knowing your �walk-away� point can make negotiations go smoother.

",Online
Negotiation Essentials: What Is Negotiation? (X038),"Everyone has to negotiate at some point in life. Strong negotiating skills can be survival skills, both in and out of the workplace. But being able to negotiate successfully requires that you understand some of the basic concepts of negotiation. Negotiation has been described in many ways: getting what you want, reaching an agreement, influencing others, and bargaining, to name a few. However you think of it, though, negotiation is a process in which two or more parties with different needs and goals work together to find a solution that is acceptable to all.

This course defines negotiation and describes actions that can help you negotiate successfully. It also discusses two types of negotiation�distributive and integrative�that you will typically encounter in business. Lastly, this course covers styles of negotiating.
",Online
Optimizing your Work/Life Balance: Analyzing your life balance (X039),Do you fill your life with activities and then find it tricky to strike a balance among them? This course describes techniques for analyzing your current work/life balance and ways to overcome internal and external obstacles to achieving a true balance.,Online
Optimizing Your Work/Life Balance: Taking Control of Your Stress (X040),"Are you constantly adding items to your to-do list? Does it seem like your list never shrinks? Are you feeling overwhelmed at work and at home? Are you afraid that stress is starting to negatively impact your health and relationships? Stress is produced by your own feelings and reactions to certain external events, rather than by the events themselves. And while you may not always be able to control the external events that are causing you stress, you can control your reactions to them and how you handle them. 

This course will explain how the signs and symptoms of stress can be physiological, behavioural, or psychological in nature and where these stresses can come from. This course reviews strategies for coping with stress and avoiding burnout. It also covers how you can positively change your responses to stress once you are able to recognize how you respond to stressful situations. Relaxation techniques such as breathing and meditation are also covered.
",Online
Organizations Change So Get Ready (T045),"A change in your work situation, whether good or bad, can create a period of uncertainty, stress, and anxiety while you adjust. A clear understanding of what organizational change is, and what to expect when dealing with it, can shorten the period of adjustment so you can get back on track sooner. In this course, you'll explore organizational change and the events that can typically trigger it. You'll also learn about the three specific types of organizational change, common reactions to organizational change, and the stages you can expect to go through when dealing with organizational change.",Online
Organizing Your Email (C059),"Email has dramatically increased the volume of communications information that the average office worker needs to process every day. To keep up, you must sort, file, respond to or delete every email that comes to you during a business day. 

This course introduces techniques for managing email effectively. It covers tips on how to use folders and filters to organize emails for increased efficiency, as well as guidelines on what emails to delete. The course also gives direction on how to recover important information should you lose an email.
",Online
Overcoming Unconscious Bias in the Workplace (W007),"Ensuring a diverse workplace requires seeing past not just individual biases, but also institutional biases that can become ingrained in teams and organizations. In this course, you'll learn about the process of overcoming organizational biases and how to function as an inclusive leader. You'll also learn specific tactics for combating unconscious biases in the workplace.",Online
Overcoming Your Own Unconscious Biases (W006),"We all have unconscious biases. Once you've accepted them, you can take steps to overcome them and embrace workplace diversity more fully. In this course, you'll learn how to recognize and observe your own biases, how to move past them�and how to keep them in the past.",Online
Plan and Acquire Resources (PMBOK� Guide Sixth Edition) (T928),"This course covers the Plan Resource Management, Estimate Activity Resources, and Acquire Resources project management processes. It assists learners in preparing for the PMI� PMP� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Plan and Define Project Scope (PMBOK� Guide Sixth Edition) (T922),"This course covers the Plan Scope Management, Collect Requirements, and Define Scope processes. This course will assist learners in preparing for the PMI� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Plan and Manage Communications (PMBOK� Guide Sixth Edition) (T930),"This course covers the Plan Communications Management and Manage Communications project management processes. It assists learners in preparing for the PMI� PMP� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Planning an Effective Performance Appraisal (H018),"Preparing for appraisals takes time, but the extra effort can transform a routine bureaucratic chore into a beneficial process for you, your employees, and your organization. In this course, you'll learn why performance appraisals are important. You'll be introduced to the elements that contribute to an employee performance plan. You'll also learn how to monitor ongoing performance, which will help prepare you for future employee appraisals.",Online
Planning an Effective Presentation (C060),"Concern about the impact of a presentation can inspire presenters to raise their game, which enables them to get the desired results. A presentation can be immeasurably improved if the presenter devotes sufficient time and attention to planning.
This course will help you define your audience and understand its characteristics, knowledge, needs and responses. You'll learn about the timing and organization of your presentation and the different presentation methods�including the most effective ways to use them.
",Online
Planning Meetings Fit for Purpose (C061),"Have you ever sat through a meeting that you felt was a waste of your time? Maybe the meeting wasn't relevant to you or it was just poorly run. Perhaps it lacked a clear purpose. The root cause of ineffective meetings is almost always poor planning. Meetings are among the most expensive forms of communication in today's business environment, so it's essential to make the investment worthwhile. This course outlines a process for preparing for effective meetings. First, you'll learn how to clarify the purpose and objectives of a meeting. Second, you'll learn how to determine if the meeting is required or if a meeting alternative can fulfill the objectives. Third, you'll learn how to choose the best participants. Fourth, you'll learn how to create the agenda. And fifth, you'll learn how to prepare yourself and your participants for a successful meeting. The next time you need to prepare a meeting, the methods introduced in this course will help you make the most of yours and your participants' valuable time. You'll also learn how to start a meeting effectively.",Online
Planning Risk Management (PMBOK� Guide Sixth Edition) (T932),"This course covers the Plan Risk Management project management process. It assists learners in preparing for the PMI� PMP� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Polishing Your Feedback Skills (C013),"Giving feedback is vital in the workplace. This course covers when and how to give feedback positively, how to handle bad reactions and your own nervousness, and how to give feedback to people at different organizational levels.",Online
Polishing Your Skills for Excellent Customer Service (R008),"As a customer service representative (CSR), creating a support culture that focuses on your customers' needs is key. In this course, you'll learn how to project an excellent service attitude that will enhance your interaction with your customers. You'll explore how to establish effective customer relationships and involve customers in problem solving. In addition, you'll discover methods to communicate effectively in a cross-cultural customer support centre or help desk environment.",Online
Portable Fire Extinguishers (S008),"This course is designed to protect employees and help prevent serious property loss from workplace fires. It identifies the various classes of fires, types of portable fire extinguishers, and actions to take in the event of a fire. It describes when and how to use portable fire extinguishers to put out small fires. The content in this course is designed to comply with the intent of the applicable regulatory requirements and best practice guidelines. The learning objectives of the course are to discuss the regulatory and best practice backgrounds for portable fire extinguishers, classify types of fires, identify types of portable fire extinguishers and fire extinguishing agents, and describe the proper location and use of portable fire extinguishers. This course was developed with subject-matter support provided by the Pinchin Group of Companies, an environmental, health and safety consulting firm with offices across Canada.",Online
Preparing and Implementing a Business Plan (C073),"A business plan is like a road map depicting the opportunities and obstacles you'll inevitably face as you pursue your business idea. With a well-prepared plan, you stand a better chance of getting the support you need to succeed. In this course, you'll learn about what is a business plan, its main ingredients, and the steps you need to take to develop one. You'll also learn how to carry out an internal analysis and about the key elements examined in any external and SWOT analyses. Finally, you'll find out about activities to coordinate the implementation of business plan, including developing action plans and determining how implementation should be measured, monitored, and assessed.",Online
Preventing Harassment and Violence in the Canadian Workplace (W011),"In recent years, certain high-profile incidents have heightened concerns about safety in the workplace. While the incidents you hear about are often extreme, harassment and violence could happen at work any time. The way an organization deals with incident can make the difference between another day at the office and front-page news. 

This course explores the forms harassment can take in the workplace and examines the factors that might contribute to a violent incident at work. The key to preventing harassment and violence in the workplace is for employees to be aware of the signs and to become familiar with their organization�s policies and procedures for addressing them. 

",Online
Preventing Harassment in the Global Workplace � Manager Edition (W012),"As a manager, you play a vital role in supporting your organization's efforts to create a workplace defined by respectful and professional interactions between employees. This includes not only preventing illegal harassment, but also avoiding intimidating, hostile or otherwise uncivil behaviour. You have a responsibility to model appropriate behaviour in how you treat your employees and to address any instances of inappropriate conduct swiftly and appropriately. 
This course explains why it is important for an organization to foster a respectful work environment. It also presents strategies for addressing inappropriate behaviour in the workplace. 
",Online
Preventing High Turnover Rates: How to Keep The Best (H303),"While some turnover is unavoidable, companies must take proactive steps to minimize its effect. This business impact analysis explores employee retention strategies for top performers.",Online
Project Changes and Closing (PMBOK� Guide Sixth Edition) (T921),"This course covers the Perform Integrated Change Control and Close Project or Phase processes. It assists learners in preparing for the PMI� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
Project Initiation and Planning (PMBOK� Guide Sixth Edition) (T919),"This course introduces project integration management activities, including the Develop the Project Charter and Develop the Project Management Plan processes. It assists learners in preparing for the PMI� certification exam. PMBOK, PMI, PMP, CAPM are registered trademarks of the Project Management Institute, Inc.",Online
