Title,Description,Type,description_word_count,title_word_count,description_tf_idf,title_tf_idf
Growth and Development,"A short video explaining the psychological hazard Growth and Development. It explains that we all have a need for personal growth, to feel that we accomplish something useful and that we also have the need to learn. It includes an example explaining what the workplace can do to support an employee in his-her development.",Video,"{""employee"":1,""can"":1,""workplace"":1,""example"":1,""learn"":1,""in"":1,""also"":1,""useful"":1,""support"":1,""development"":2,""do"":1,""and"":2,""need"":2,""her"":1,""his"":1,""what"":1,""includes"":1,""hazard"":1,""growth"":2,""something"":1,""that"":3,""an"":2,""video"":1,""a"":2,""personal"":1,""short"":1,""psychological"":1,""the"":3,""it"":2,""we"":3,""explaining"":2,""all"":1,""have"":2,""explains"":1,""for"":1,""to"":3,""feel"":1,""accomplish"":1}","{""development"":1,""and"":1,""growth"":1}","{""employee"":3.71096,""support"":2.83847,""can"":2.12318,""workplace"":3.21452,""example"":4.96372,""learn."":5.94455,""in"":0.881953,""also"":2.30696,""his-her"":7.04316,""useful"":5.2514,""development."":10.8674,""do"":3.57742,""and"":1.29914,""need"":6.30268,""what"":2.76649,""includes"":4.15279,""hazard"":4.33511,""accomplish"":5.2514,""feel"":5.43372,""growth"":5.94455,""something"":5.65687,""that"":5.14585,""an"":3.37315,""video"":3.35428,""a"":2.16431,""personal"":3.60917,""short"":3.78506,""psychological"":4.09872,""growth,"":7.04316,""the"":2.06637,""it"":3.71155,""we"":11.5953,""explaining"":8.67022,""all"":2.82365,""have"":5.02112,""explains"":3.90767,""for"":1.30016,""to"":2.07159}","{""development"":3.86511,""and"":1.61381,""growth"":7.04316}"
GTEC 2015 - A Journey to Seamless Government Services,Government Technology Exhibition and Conference (GTEC) 2015 - A Journey to Seamless Government Services,Video,"{""services"":1,""seamless"":1,""government"":2,""technology"":1,""and"":1,""exhibition"":1,""conference"":1,""journey"":1,""gtec"":1,""a"":1,""2015"":1,""to"":1}","{""government"":1,""seamless"":1,""to"":1,""journey"":1,""2015"":1,""services"":1,""a"":1,""gtec"":1}","{""seamless"":7.04316,""to"":0.690531,""government"":4.70362,""technology"":4.33511,""and"":0.649569,""-"":2.73909,""exhibition"":5.43372,""conference"":5.2514,""journey"":5.94455,""services"":3.67586,""(gtec)"":5.43372,""2015"":5.09725,""a"":1.08215}","{""seamless"":7.04316,""to"":1.99973,""journey"":6.35001,""government"":3.43224,""-"":2.19113,""2015"":5.09725,""services"":4.47821,""a"":2.37033,""gtec"":5.43372}"
GTEC 2015 - Agile IT Development,Government Technology Exhibition and Conference (GTEC) 2015 - Agile IT Development,Video,"{""it"":1,""2015"":1,""gtec"":1,""conference"":1,""and"":1,""development"":1,""exhibition"":1,""agile"":1,""technology"":1,""government"":1}","{""development"":1,""agile"":1,""it"":1,""2015"":1,""gtec"":1}","{""development"":3.15134,""government"":2.35181,""technology"":4.33511,""agile"":5.94455,""and"":0.649569,""-"":2.73909,""exhibition"":5.43372,""conference"":5.2514,""(gtec)"":5.43372,""2015"":5.09725,""it"":1.85577}","{""development"":3.86511,""agile"":6.35001,""-"":2.19113,""it"":4.20995,""2015"":5.09725,""gtec"":5.43372}"
GTEC 2015 - CIOs and Their Executive Partners Team Up to Create an Innovative Work Environment,Government Technology Exhibition and Conference (GTEC) 2015 -�CIOs and Their Executive Partners Team Up to Create an Innovative Work Environment,Video,"{""work"":1,""create"":1,""environment"":1,""an"":1,""to"":1,""team"":1,""technology"":1,""up"":1,""and"":2,""innovative"":1,""exhibition"":1,""conference"":1,""their"":1,""partners"":1,""gtec"":1,""2015"":1,""government"":1,""�cios"":1,""executive"":1}","{""work"":1,""innovative"":1,""create"":1,""team"":1,""2015"":1,""cios"":1,""their"":1,""executive"":1,""gtec"":1,""partners"":1,""and"":1,""up"":1,""environment"":1,""an"":1,""to"":1}","{""work"":2.55452,""create"":3.60917,""environment"":3.71096,""an"":1.68657,""to"":0.690531,""team"":3.64196,""partners"":6.35001,""government"":2.35181,""technology"":4.33511,""up"":4.84594,""and"":1.29914,""innovative"":5.43372,""exhibition"":5.43372,""conference"":5.2514,""their"":1.93117,""(gtec)"":5.43372,""2015"":5.09725,""-�cios"":7.04316,""executive"":4.20995}","{""work"":4.09872,""create"":5.94455,""environment"":5.2514,""an"":3.74732,""to"":1.99973,""team"":4.33511,""2015"":5.09725,""innovative"":6.35001,""-"":2.19113,""cios"":7.04316,""their"":7.04316,""executive"":3.43224,""gtec"":5.43372,""partners"":7.04316,""and"":1.61381,""up"":7.04316}"
GTEC 2015 - Government and the Internet of Everything,Government Technology Exhibition and Conference (GTEC) 2015 - Government and the Internet of Everything,Video,"{""everything"":1,""government"":2,""technology"":1,""and"":2,""gtec"":1,""exhibition"":1,""conference"":1,""the"":1,""2015"":1,""internet"":1,""of"":1}","{""of"":1,""internet"":1,""and"":1,""government"":1,""2015"":1,""everything"":1,""the"":1,""gtec"":1}","{""everything"":6.35001,""of"":0.798993,""government"":4.70362,""technology"":4.33511,""and"":1.29914,""(gtec)"":5.43372,""2015"":5.09725,""-"":2.73909,""exhibition"":5.43372,""conference"":5.2514,""the"":0.68879,""internet"":6.35001}","{""of"":2.02588,""internet"":7.04316,""and"":1.61381,""government"":3.43224,""-"":2.19113,""2015"":5.09725,""everything"":6.35001,""the"":1.75489,""gtec"":5.43372}"
GTEC 2015 - Tracing Decision-Making and Making Sense Collectively,Government Technology Exhibition and Conference (GTEC) 2015 - Tracing Decision-Making and Making Sense Collectively,Video,"{""collectively"":1,""sense"":1,""government"":1,""technology"":1,""and"":2,""exhibition"":1,""conference"":1,""gtec"":1,""2015"":1,""decision"":1,""tracing"":1,""making"":2}","{""collectively"":1,""sense"":1,""and"":1,""making"":2,""tracing"":1,""decision"":1,""2015"":1,""gtec"":1}","{""collectively"":7.04316,""sense"":5.09725,""making"":3.95212,""government"":2.35181,""technology"":4.33511,""decision-making"":4.33511,""and"":1.29914,""-"":2.73909,""exhibition"":5.43372,""conference"":5.2514,""(gtec)"":5.43372,""2015"":5.09725,""tracing"":7.04316}","{""collectively"":7.04316,""sense"":7.04316,""and"":1.61381,""making"":5.43372,""tracing"":7.04316,""decision-making"":6.35001,""-"":2.19113,""2015"":5.09725,""gtec"":5.43372}"
Hacking Our Way to an Agile Organization,"Adopting new perspectives, new ways of doing things and new ways of thinking is a lot like hacking. Guest speaker Tanya Snook will talk about why hacking is important and discuss ways that the public service can start being agile right now, including ways to hack our work, our teams, our organizations and, most importantly, ourselves. Join us as we explore dozens of ideas for practical hacking and examples of hacks that are in use right now across the Government of Canada.\n\nSpeaker: Tanya Snook, Senior Project Officer, Treasury Board of Canada Secretariat",Video,"{""secretariat"":1,""officer"":1,""senior"":1,""canada"":2,""government"":1,""use"":1,""in"":1,""hacks"":1,""practical"":1,""for"":1,""ideas"":1,""explore"":1,""dozens"":1,""organizations"":1,""will"":1,""are"":1,""speaker"":2,""hacking"":3,""snook"":2,""lot"":1,""treasury"":1,""adopting"":1,""us"":1,""discuss"":1,""we"":1,""a"":1,""new"":3,""perspectives"":1,""doing"":1,""tanya"":2,""why"":1,""board"":1,""importantly"":1,""is"":2,""public"":1,""things"":1,""examples"":1,""ways"":4,""of"":6,""like"":1,""across"":1,""and"":4,""talk"":1,""thinking"":1,""that"":2,""the"":2,""project"":1,""service"":1,""work"":1,""most"":1,""can"":1,""start"":1,""important"":1,""right"":2,""being"":1,""guest"":1,""agile"":1,""now"":2,""as"":1,""our"":3,""ourselves"":1,""to"":1,""about"":1,""including"":1,""hack"":1,""teams"":1,""join"":1}","{""agile"":1,""an"":1,""to"":1,""way"":1,""our"":1,""organization"":1,""hacking"":1}","{""secretariat"":5.43372,""canada"":2.85351,""officer,"":5.43372,""senior"":4.4041,""snook,"":7.04316,""speaker:"":7.04316,""canada."":3.74732,""government"":2.35181,""now"":5.09725,""use"":2.78048,""in"":0.881953,""hacks"":7.04316,""practical"":3.32959,""for"":1.30016,""ideas"":4.33511,""explore"":3.64196,""us"":4.27057,""join"":5.94455,""ourselves."":7.04316,""will"":1.48248,""teams,"":5.94455,""dozens"":7.04316,""organizations"":3.82428,""snook"":7.04316,""lot"":7.04316,""treasury"":4.20995,""adopting"":7.04316,""discuss"":4.33511,""we"":3.86511,""a"":1.08215,""doing"":4.64526,""tanya"":14.0863,""why"":3.99864,""now,"":5.94455,""is"":2.94201,""hacking."":7.04316,""like"":4.47821,""talk"":5.65687,""thinking"":4.64526,""new"":8.89687,""are"":1.83915,""speaker"":5.94455,""importantly,"":7.04316,""hacking"":14.0863,""public"":2.06643,""perspectives,"":6.35001,""things"":4.20995,""examples"":4.27057,""ways"":13.729,""of"":4.79396,""across"":3.57742,""and"":1.94871,""that"":3.43057,""the"":1.37758,""project"":3.3796,""service"":2.60051,""most"":3.30549,""can"":2.12318,""start"":5.2514,""important"":3.19301,""right"":7.99727,""being"":3.95212,""guest"":5.43372,""agile"":5.94455,""about"":2.43799,""including"":3.25897,""as"":1.99973,""our"":10.7323,""to"":0.690531,""hack"":7.04316,""board"":4.09872,""work,"":5.43372,""and,"":5.43372}","{""agile"":6.35001,""an"":3.74732,""to"":1.99973,""way"":6.35001,""our"":6.35001,""organization"":5.43372,""hacking"":7.04316}"
How National Security Works,"Past Event:How National Security Works\n\nCurious about national security? At this special event, presented in partnership with National Defence, guest speakers from five different organizations�leaders and experts who safeguard the interests of Canada and Canadians�will present a behind-the-scenes look at this fascinating and important field.\n\nParticipants will hear about who does what in the national security community and the special challenges of national security practitioners. This event will help learners understand the complex issues involved in keeping Canada safe.\n\nDate: Monday, October 26, 2015 - 13:30 to 16:15 (EST)\n\nLocation: National Capital Region",Video,"{""est"":1,""15"":1,""to"":1,""2015"":1,""october"":1,""monday"":1,""safe"":1,""keeping"":1,""involved"":1,""learners"":1,""practitioners"":1,""different"":1,""16"":1,""organizations�leaders"":1,""issues"":1,""help"":1,""speakers"":1,""works"":1,""location"":1,""what"":1,""guest"":1,""date"":1,""with"":1,""30"":1,""this"":3,""in"":3,""special"":2,""field"":1,""understand"":1,""from"":1,""partnership"":1,""canada"":2,""past"":1,""five"":1,""and"":4,""national"":6,""presented"":1,""how"":1,""safeguard"":1,""region"":1,""about"":2,""security"":4,""capital"":1,""experts"":1,""13"":1,""at"":2,""who"":2,""curious"":1,""fascinating"":1,""the"":5,""behind"":1,""interests"":1,""of"":2,""does"":1,""canadians�will"":1,""26"":1,""a"":1,""present"":1,""scenes"":1,""important"":1,""look"":1,""participants"":1,""complex"":1,""defence"":1,""event"":3,""will"":2,""challenges"":1,""hear"":1,""community"":1}","{""works"":1,""security"":1,""national"":1,""how"":1}","{""location:"":7.04316,""to"":0.690531,""13:30"":7.04316,""2015"":5.09725,""october"":7.04316,""date:"":7.04316,""keeping"":5.65687,""involved"":4.64526,""26,"":7.04316,""learners"":3.07287,""different"":3.57742,""five"":4.47821,""and"":2.59828,""issues"":4.04743,""help"":2.64871,""speakers"":5.65687,""works"":4.96372,""what"":2.76649,""safe."":7.04316,""guest"":5.43372,""challenges"":3.78506,""with"":1.38717,""this"":2.55239,""in"":2.64586,""event,"":6.35001,""capital"":6.35001,""experts"":5.2514,""(est)"":7.04316,""understand"":3.32959,""from"":2.86877,""16:15"":7.04316,""partnership"":5.65687,""canada"":5.70701,""past"":5.09725,""complex"":4.15279,""event"":4.4041,""will"":2.96496,""event:how"":7.04316,""presented"":5.2514,""national"":33.9412,""special"":11.8891,""security?"":7.04316,""organizations�leaders"":7.04316,""safeguard"":5.94455,""region"":6.35001,""about"":4.87598,""security"":12.1423,""at"":5.0867,""who"":6.38602,""present"":4.74057,""monday,"":7.04316,""curious"":7.04316,""fascinating"":7.04316,""the"":2.75516,""interests"":5.65687,""practitioners."":7.04316,""of"":1.59799,""-"":2.73909,""does"":4.96372,""canadians�will"":7.04316,""a"":1.08215,""behind-the-scenes"":6.35001,""important"":3.19301,""look"":5.94455,""defence,"":6.35001,""field."":6.35001,""participants"":2.06643,""hear"":5.94455,""community"":4.84594}","{""works"":4.96372,""security"":3.54665,""national"":5.09725,""how"":2.98272}"
How to Chair a Bilingual Meeting,How to Chair a Bilingual Meeting,Video,"{""meeting"":1,""bilingual"":1,""a"":1,""to"":1,""chair"":1,""how"":1}","{""meeting"":1,""bilingual"":1,""a"":1,""to"":1,""chair"":1,""how"":1}","{""meeting"":4.64526,""bilingual"":5.94455,""a"":1.08215,""to"":0.690531,""chair"":7.04316,""how"":1.41195}","{""meeting"":6.35001,""bilingual"":5.94455,""a"":2.37033,""to"":1.99973,""chair"":7.04316,""how"":2.98272}"
How To Do A 2-Minute Briefing,"It is often necessary to brief busy leaders in two minutes or less. This video presents, in two minutes, a simple, effective model that will help you develop to the point strategic briefing in order to help leaders make the best decisions possible for their organizations and for Canadians.",Video,"{""canadians"":1,""organizations"":1,""possible"":1,""best"":1,""make"":1,""order"":1,""strategic"":1,""the"":2,""point"":1,""you"":1,""help"":2,""in"":3,""busy"":1,""or"":1,""leaders"":2,""brief"":1,""briefing"":1,""a"":1,""to"":3,""and"":1,""necessary"":1,""less"":1,""two"":2,""is"":1,""minutes"":2,""decisions"":1,""it"":1,""this"":1,""their"":1,""that"":1,""develop"":1,""simple"":1,""for"":2,""effective"":1,""often"":1,""model"":1,""video"":1,""presents"":1,""will"":1}","{""briefing"":1,""minute"":1,""2"":1,""a"":1,""do"":1,""to"":1,""how"":1}","{""canadians."":4.74057,""organizations"":3.82428,""possible"":5.65687,""best"":3.01781,""make"":3.21452,""order"":4.27057,""strategic"":3.99864,""the"":1.37758,""develop"":3.28196,""point"":4.96372,""you"":1.89567,""in"":2.64586,""less."":7.04316,""or"":2.43799,""leaders"":7.57013,""brief"":5.43372,""will"":1.48248,""video"":3.35428,""briefing"":5.94455,""a"":1.08215,""to"":2.07159,""and"":0.649569,""necessary"":4.33511,""two"":8.95642,""is"":1.47101,""minutes"":5.65687,""busy"":7.04316,""simple,"":7.04316,""decisions"":3.95212,""it"":1.85577,""this"":0.850797,""presents,"":7.04316,""their"":1.93117,""that"":1.71528,""help"":5.29742,""minutes,"":7.04316,""for"":2.60031,""effective"":2.54335,""often"":4.4041,""model"":4.96372}","{""briefing"":5.65687,""2-minute"":7.04316,""a"":2.37033,""do"":4.47821,""to"":1.99973,""how"":2.98272}"
HR Expert�s Corner: Getting your message out there!,"Launched by the Functional Communities for Human Resources, the HR Expert's Corner is an initiative that aims to assist HR practitioners in their quest for continuous learning and the sharing of practices. How? By allowing the learner to become center stage.\n\nDesigned to address front line HR advisors across the country from all walks of HR disciplines, the monthly radio talk show allows the opportunity for learners to listen in on a moderated discussion or interview and ask questions to HR experts on the topic of the day using the WebEX platform or teleconference in real-time. This video showcases our approach and aims to foster awareness as to the use of the platform for Central Agencies, Policy Centers and HR Practitioners alike for training purposes.",Video,"{""training"":1,""centers"":1,""policy"":1,""agencies"":1,""foster"":1,""video"":1,""time"":1,""real"":1,""teleconference"":1,""using"":1,""day"":1,""topic"":1,""experts"":1,""questions"":1,""ask"":1,""interview"":1,""or"":2,""discussion"":1,""on"":2,""learners"":1,""show"":1,""listen"":1,""talk"":1,""monthly"":1,""practitioners"":2,""that"":1,""country"":1,""an"":1,""is"":1,""by"":2,""approach"":1,""launched"":1,""this"":1,""platform"":2,""allows"":1,""functional"":1,""aims"":2,""showcases"":1,""for"":5,""webex"":1,""the"":12,""assist"":1,""expert"":1,""a"":1,""radio"":1,""walks"":1,""s"":1,""communities"":1,""central"":1,""human"":1,""in"":3,""resources"":1,""quest"":1,""initiative"":1,""from"":1,""hr"":6,""practices"":1,""continuous"":1,""purposes"":1,""awareness"":1,""designed"":1,""learning"":1,""across"":1,""and"":4,""alike"":1,""of"":4,""stage"":1,""how"":1,""learner"":1,""sharing"":1,""become"":1,""corner"":1,""line"":1,""moderated"":1,""opportunity"":1,""their"":1,""advisors"":1,""address"":1,""use"":1,""front"":1,""as"":1,""our"":1,""to"":7,""center"":1,""all"":1,""allowing"":1,""disciplines"":1}","{""out"":1,""message"":1,""there"":1,""your"":1,""getting"":1,""corner"":1,""expert�s"":1,""hr"":1}","{""purposes."":6.35001,""training"":3.86511,""centers"":7.04316,""policy"":3.28196,""agencies,"":5.94455,""foster"":5.09725,""video"":3.35428,""real-time."":7.04316,""teleconference"":7.04316,""using"":3.25897,""day"":5.43372,""topic"":5.65687,""experts"":5.2514,""questions"":4.09872,""ask"":5.94455,""interview"":5.65687,""or"":4.87598,""discussion"":4.96372,""on"":3.3826,""learners"":3.07287,""show"":5.65687,""listen"":4.96372,""talk"":5.65687,""that"":1.71528,""practitioners"":10.8674,""country"":6.35001,""an"":1.68657,""by"":4.59646,""approach"":3.90767,""launched"":6.35001,""this"":0.850797,""platform"":12.7,""allows"":4.84594,""functional"":4.64526,""aims"":10.8674,""expert's"":7.04316,""in"":2.64586,""showcases"":7.04316,""for"":6.50078,""webex"":6.35001,""the"":8.26548,""assist"":5.09725,""a"":1.08215,""radio"":7.04316,""walks"":7.04316,""communities"":5.65687,""central"":4.55825,""human"":3.57742,""quest"":7.04316,""disciplines,"":5.65687,""is"":1.47101,""stage."":6.35001,""practices."":5.65687,""initiative"":5.65687,""from"":2.86877,""hr"":29.7823,""continuous"":6.35001,""awareness"":4.04743,""designed"":3.28196,""learning"":3.28196,""alike"":6.35001,""of"":3.19597,""across"":3.57742,""and"":2.59828,""how?"":7.04316,""learner"":5.43372,""allowing"":5.43372,""sharing"":4.96372,""become"":3.95212,""corner"":7.04316,""line"":6.35001,""use"":2.78048,""front"":6.35001,""moderated"":6.35001,""opportunity"":3.82428,""their"":1.93117,""address"":4.27057,""advisors"":5.09725,""as"":1.99973,""our"":3.57742,""to"":4.83371,""resources,"":5.94455,""center"":7.04316,""all"":2.82365,""monthly"":7.04316}","{""there!"":7.04316,""out"":5.09725,""message"":6.35001,""your"":3.03583,""getting"":5.65687,""corner:"":7.04316,""expert�s"":7.04316,""hr"":6.35001}"
Improving Communication and Citizen Engagement,"The importance of knowing how to communicate effectively in a digital world is of critical importance to government. It's not only about using digital methods to send key messages and information to the right audiences, but also about using these methods to create meaningful engagement. In this session, Sean Larkins, a leading expert in this area, explains the path to effective, successful communication in a digital world. He explores the challenges faced by many governments and the role of research; he also provides insight into connecting with an audience and how government can use technology for a more citizen focused approach. ",Video,"{""citizen"":1,""use"":1,""audience"":1,""an"":1,""with"":1,""into"":1,""insight"":1,""provides"":1,""research"":1,""governments"":1,""many"":1,""by"":1,""faced"":1,""challenges"":1,""explores"":1,""communication"":1,""more"":1,""connecting"":1,""is"":1,""only"":1,""this"":2,""path"":1,""about"":2,""critical"":1,""not"":1,""and"":3,""methods"":2,""the"":5,""these"":1,""technology"":1,""using"":2,""role"":1,""explains"":1,""effective"":1,""s"":1,""a"":4,""government"":2,""world"":2,""leading"":1,""he"":2,""how"":2,""of"":3,""meaningful"":1,""knowing"":1,""information"":1,""audiences"":1,""expert"":1,""to"":6,""it"":1,""effectively"":1,""in"":4,""key"":1,""messages"":1,""approach"":1,""importance"":2,""also"":2,""focused"":1,""send"":1,""sean"":1,""right"":1,""for"":1,""larkins"":1,""can"":1,""but"":1,""communicate"":1,""digital"":3,""create"":1,""session"":1,""engagement"":1,""area"":1,""successful"":1}","{""citizen"":1,""and"":1,""engagement"":1,""communication"":1,""improving"":1}","{""approach."":5.94455,""citizen"":5.2514,""for"":1.30016,""use"":2.78048,""government"":2.35181,""audience"":4.47821,""an"":1.68657,""with"":1.38717,""into"":3.40557,""provides"":2.5323,""governments"":5.09725,""many"":3.86511,""by"":2.29823,""faced"":5.94455,""challenges"":3.78506,""explores"":3.13114,""world."":5.2514,""focused"":5.2514,""send"":5.94455,""about"":4.87598,""more"":2.91603,""connecting"":5.94455,""is"":1.47101,""larkins,"":7.04316,""this"":1.70159,""path"":5.94455,""it's"":3.95212,""government."":4.55825,""can"":2.12318,""but"":3.17196,""effective,"":5.94455,""critical"":4.47821,""not"":3.35428,""and"":1.94871,""methods"":7.90423,""the"":3.44395,""these"":3.35428,""technology"":4.33511,""using"":6.51794,""role"":3.21452,""explains"":3.90767,""a"":4.32862,""only"":4.15279,""session,"":5.94455,""world"":4.33511,""leading"":4.20995,""he"":8.67022,""how"":2.8239,""of"":2.39698,""meaningful"":5.65687,""knowing"":5.43372,""information"":2.90003,""expert"":5.65687,""to"":4.14318,""effectively"":3.25897,""in"":3.52781,""key"":2.48928,""messages"":5.2514,""research;"":7.04316,""importance"":6.26227,""also"":4.61392,""insight"":4.96372,""audiences,"":6.35001,""successful"":4.15279,""create"":3.60917,""digital"":14.5378,""communicate"":4.04743,""engagement."":5.65687,""right"":3.99864,""sean"":7.04316,""area,"":7.04316,""communication"":3.5168}","{""citizen"":4.74057,""and"":1.61381,""engagement"":4.84594,""communication"":4.47821,""improving"":6.35001}"
"Indicators, Targets and Outcomes - A Case Study","Results and Delivery approach is based, among other things, on meaningful indicators. Nick Rodriguez, one of the world's leading experts in the theory and practice of delivery, summarizes the three criteria of a good performance indicator. ",Video,"{""indicator"":1,""good"":1,""a"":1,""three"":1,""performance"":1,""summarizes"":1,""practice"":1,""results"":1,""theory"":1,""other"":1,""things"":1,""approach"":1,""is"":1,""among"":1,""s"":1,""and"":2,""delivery"":2,""meaningful"":1,""indicators"":1,""one"":1,""criteria"":1,""nick"":1,""in"":1,""rodriguez"":1,""based"":1,""of"":3,""the"":3,""leading"":1,""world"":1,""on"":1,""experts"":1}","{""study"":1,""a"":1,""outcomes"":1,""and"":1,""case"":1,""targets"":1,""indicators"":1}","{""indicator."":7.04316,""good"":3.90767,""a"":1.08215,""three"":4.47821,""performance"":3.54665,""summarizes"":5.94455,""practice"":3.99864,""things,"":6.35001,""results"":3.67586,""based,"":7.04316,""meaningful"":5.65687,""approach"":3.90767,""leading"":4.20995,""is"":1.47101,""among"":4.47821,""and"":1.29914,""delivery"":3.90767,""the"":2.06637,""criteria"":5.2514,""delivery,"":5.65687,""nick"":7.04316,""in"":0.881953,""one"":3.71096,""indicators."":7.04316,""of"":2.39698,""world's"":6.35001,""on"":1.6913,""experts"":5.2514,""other"":3.64196,""rodriguez,"":7.04316,""theory"":6.35001}","{""study"":6.35001,""a"":2.37033,""-"":2.19113,""outcomes"":7.04316,""and"":1.61381,""case"":5.09725,""targets"":7.04316,""indicators,"":7.04316}"
Introduction to Change and Complexity - Video 1 of 3,"Our organizations are structured to deal with linear, predictable problems, but we are being asked to operate in times that are increasingly complex and unpredictable. We can no longer manage change tightly, but only find ways to adapt in a rapidly changing landscape. In this short presentation, you will be introduced to some concepts, practices and tools to help you increase your Adaptive Capacity.� You will explore challenges in the rapidly-evolving context of our organisations and consider some ideas that will help you identify real solutions in a complex environment.",Video,"{""environment"":1,""real"":1,""solutions"":1,""identify"":1,""consider"":1,""of"":1,""evolving"":1,""challenges"":1,""explore"":1,""�"":1,""your"":1,""increase"":1,""and"":3,""increasingly"":1,""being"":1,""operate"":1,""asked"":1,""the"":1,""deal"":1,""ways"":1,""complex"":2,""will"":3,""organizations"":1,""are"":3,""practices"":1,""our"":2,""to"":5,""capacity"":1,""presentation"":1,""with"":1,""only"":1,""this"":1,""adaptive"":1,""predictable"":1,""in"":5,""tools"":1,""problems"":1,""that"":2,""changing"":1,""tightly"":1,""organisations"":1,""no"":1,""some"":2,""longer"":1,""but"":2,""can"":1,""change"":1,""manage"":1,""find"":1,""adapt"":1,""context"":1,""concepts"":1,""unpredictable"":1,""we"":2,""a"":2,""ideas"":1,""linear"":1,""rapidly"":2,""introduced"":1,""help"":2,""structured"":1,""landscape"":1,""short"":1,""be"":1,""times"":1,""you"":4}","{""3"":1,""of"":1,""1"":1,""video"":1,""complexity"":1,""change"":1,""to"":1,""and"":1,""introduction"":1}","{""environment."":3.90767,""real"":4.55825,""solutions"":5.09725,""identify"":3.45964,""consider"":4.74057,""of"":0.798993,""context"":3.82428,""rapidly-evolving"":5.94455,""explore"":3.64196,""challenges"":3.78506,""capacity.�"":5.94455,""increase"":4.20995,""increasingly"":4.27057,""help"":5.29742,""structured"":5.65687,""being"":3.95212,""and"":1.94871,""unpredictable."":5.94455,""operate"":5.43372,""asked"":5.2514,""the"":0.68879,""deal"":4.33511,""ways"":3.43224,""tools"":3.28196,""landscape."":5.94455,""organizations"":3.82428,""are"":5.51746,""problems,"":5.65687,""practices"":3.17196,""our"":7.15485,""to"":3.45265,""complex"":8.30558,""will"":4.44743,""linear,"":5.94455,""with"":1.38717,""your"":2.03921,""tightly,"":5.94455,""only"":4.15279,""this"":0.850797,""adaptive"":5.94455,""in"":4.40976,""predictable"":5.94455,""organisations"":5.94455,""concepts,"":5.65687,""no"":4.84594,""some"":6.26227,""longer"":5.43372,""but"":6.34392,""can"":2.12318,""change"":3.21452,""manage"":3.25897,""find"":4.15279,""adapt"":4.64526,""we"":7.73021,""a"":2.16431,""ideas"":4.33511,""rapidly"":5.94455,""that"":3.43057,""changing"":4.47821,""short"":3.78506,""be"":2.11591,""introduced"":4.47821,""presentation,"":5.43372,""times"":5.43372,""you"":7.58266}","{""3"":4.84594,""of"":2.02588,""1"":4.84594,""video"":4.27057,""-"":2.19113,""complexity"":5.94455,""change"":3.5168,""to"":1.99973,""and"":1.61381,""introduction"":3.74732}"
